orig_met,without_compartment,new_met,new_met_out,compartment,conversion_successful,conversion_type,encoding_issues_fixed,database_sources
nh3[c],nh3,MNXM729302,MNXM729302[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
uppg3[c],uppg3,MNXM414,MNXM414[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg"
ahcys[c],ahcys,MNXM1102167,MNXM1102167[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg, chebi"
dscl[c],dscl,MNXM1373208,MNXM1373208[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg, chebi"
scl[c],scl,MNXM740871,MNXM740871[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg, chebi"
fe2[c],fe2,MNXM1372038,MNXM1372038[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg, chebi"
sheme[c],sheme,MNXM1104857,MNXM1104857[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
ni2[c],ni2,MNXM731950,MNXM731950[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg, chebi"
niscl[c],niscl,MNXM1363849,MNXM1363849[c],c,TRUE,MetanetX conversion,FALSE,"kegg, chebi"
nisclac[c],nisclac,MNXM1363847,MNXM1363847[c],c,TRUE,MetanetX conversion,FALSE,"kegg, chebi"
sf430a[c],sf430a,MNXM6645,MNXM6645[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg"
f430[c],f430,MNXM726723,MNXM726723[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
cobalt2[c],cobalt2,MNXM90960,MNXM90960[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg, chebi"
copre2[c],copre2,MNXM1092650,MNXM1092650[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
copre3[c],copre3,MNXM741455,MNXM741455[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
copre4[c],copre4,MNXM732833,MNXM732833[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
codscl5a[c],codscl5a,MNXM1543011,MNXM1543011[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
codscl5b[c],codscl5b,MNXM736807,MNXM736807[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
acald[c],acald,MNXM75,MNXM75[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg, chebi"
copre6[c],copre6,MNXM1372941,MNXM1372941[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
codhpre6[c],codhpre6,MNXM733197,MNXM733197[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
codscl7[c],codscl7,MNXM1363708,MNXM1363708[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
codscl8x[c],codscl8x,MNXM1543013,MNXM1543013[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
cobya[c],cobya,MNXM741356,MNXM741356[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg, chebi"
co2dam[c],co2dam,MNXM1373363,MNXM1373363[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
co1dam[c],co1dam,MNXM1373366,MNXM1373366[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
pppi[c],pppi,MNXM332,MNXM332[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
adcobdam[c],adcobdam,MNXM735498,MNXM735498[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
adcobhex[c],adcobhex,MNXM877,MNXM877[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
thr__L[c],thr__L,MNXM142,MNXM142[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg"
applp[c],applp,MNXM1697,MNXM1697[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg, chebi"
adocbip[c],adocbip,MNXM1104880,MNXM1104880[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg, chebi"
agdpcbi[c],agdpcbi,MNXM1101279,MNXM1101279[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg, chebi"
air[c],air,MNXM1105983,MNXM1105983[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
for[c],for,MNXM39,MNXM39[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg"
5hbzid[c],5hbzid,MNXM1105098,MNXM1105098[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
nicrnt[c],nicrnt,MNXM1108016,MNXM1108016[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
nac[c],nac,MNXM274,MNXM274[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
5pr5hbz[c],5pr5hbz,MNXM7577,MNXM7577[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed"
gmp[c],gmp,MNXM1101285,MNXM1101285[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
a5cbi[c],a5cbi,MNXM1373673,MNXM1373673[c],c,TRUE,MetanetX conversion,FALSE,seed
adocblhbi[c],adocblhbi,MNXM5602,MNXM5602[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed"
fc1p[c],fc1p,MNXM1520849,MNXM1520849[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
dhap[c],dhap,MNXM77,MNXM77[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
lald__L[c],lald__L,MNXM732880,MNXM732880[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg"
mthgxl[c],mthgxl,MNXM310,MNXM310[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
lac__L[c],lac__L,MNXM1372482,MNXM1372482[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
gdp[c],gdp,MNXM1103285,MNXM1103285[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg, chebi"
2plac__L[c],2plac__L,MNXM2888,MNXM2888[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg, chebi"
lppg[c],lppg,MNXM2126,MNXM2126[c],c,TRUE,MetanetX conversion,FALSE,"bigg, kegg, chebi"
tyr__L[c],tyr__L,MNXM76,MNXM76[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
4r5au[c],4r5au,MNXM1372980,MNXM1372980[c],c,TRUE,MetanetX conversion,FALSE,"bigg, seed, kegg, chebi"
