"","taxon","Kingdom","Phylum","Class","Order","Family","Genus","accession"
"183","Bacillus sp. FJAT-25509","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"184","Bradyrhizobium viridifuturi","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium",NA
"185","Trichodelitschia bisporula","Eukaryota","Ascomycota","Dothideomycetes","Phaeotrichales","Phaeotrichaceae","Trichodelitschia",NA
"186","Aeromicrobium sp. Root472D3","Bacteria","Actinomycetota","Actinomycetes","Propionibacteriales","Nocardioidaceae","Aeromicrobium",NA
"187","Azospirillum agricola","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Azospirillaceae","Azospirillum",NA
"188","Labrenzia sp. PHM005","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Stappiaceae","Labrenzia",NA
"189","Martensiomyces pterosporus","Eukaryota","Zoopagomycota","Kickxellomycetes","Kickxellales","Kickxellaceae","Martensiomyces",NA
"190","Spirosoma rigui","Bacteria","Bacteroidota","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma",NA
"191","Nodosilinea sp. LEGE 07298","Bacteria","Cyanobacteriota","Cyanophyceae","Nodosilineales","Nodosilineaceae","Nodosilinea",NA
"192","Gemmobacter caeruleus","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae","Gemmobacter",NA
"193","Micromonospora coriariae","Bacteria","Actinomycetota","Actinomycetes","Micromonosporales","Micromonosporaceae","Micromonospora",NA
"194","Aeromonadales bacterium","Bacteria","Pseudomonadota","Gammaproteobacteria","Aeromonadales","","",NA
"195","Spirosoma endophyticum","Bacteria","Bacteroidota","Cytophagia","Cytophagales","Cytophagaceae","Spirosoma",NA
"196","Flavivirga algicola","Bacteria","Bacteroidota","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavivirga",NA
"197","Massiliimalia timonensis","Bacteria","Bacillota","Clostridia","Eubacteriales","Oscillospiraceae","Massiliimalia",NA
"198","Streptomyces sp. 846.5","Bacteria","Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces",NA
"199","Streptomyces sp. 846.5","Bacteria","Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces",NA
"200","Collimonas sp. OK412","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Collimonas",NA
"201","Candidatus Frankia alpina","Bacteria","Actinomycetota","Actinomycetes","Frankiales","Frankiaceae","Frankia",NA
"202","Acinetobacter tianfuensis","Bacteria","Pseudomonadota","Gammaproteobacteria","Moraxellales","Moraxellaceae","Acinetobacter",NA
"203","Glaciihabitans sp. dw_435","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae","Glaciihabitans",NA
"204","Streptomyces sp. XY006","Bacteria","Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces",NA
"205","Streptomyces sp. XY006","Bacteria","Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces",NA
"206","Curtobacterium sp. PhB115","Bacteria","Actinomycetota","Actinomycetes","Micrococcales","Microbacteriaceae","Curtobacterium",NA
"207","Streptomyces sp. Ag109_O5-10","Bacteria","Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces",NA
"208","Streptomyces sp. Ag109_O5-10","Bacteria","Actinomycetota","Actinomycetes","Kitasatosporales","Streptomycetaceae","Streptomyces",NA
"209","Dickeya poaceiphila","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacteriaceae","Dickeya",NA
